,n_strains,core_genome_size
0,2,3235
1,2,3202
2,2,3971
3,2,3470
4,2,3737
5,2,3241
6,2,3628
7,2,2824
8,2,3281
9,2,3015
10,2,3566
11,2,3232
12,2,3470
13,2,2831
14,2,3226
15,2,3148
16,2,3157
17,2,3655
18,2,2821
19,2,3843
20,3,2629
21,3,3459
22,3,3047
23,3,2710
24,3,3472
25,3,3003
26,3,2670
27,3,3531
28,3,2867
29,3,2782
30,3,2922
31,3,3058
32,3,3170
33,3,3344
34,3,3053
35,3,2901
36,3,3384
37,3,3394
38,3,3004
39,3,3149
40,4,3264
41,4,2965
42,4,3076
43,4,2720
44,4,2548
45,4,2732
46,4,2969
47,4,3333
48,4,2977
49,4,3360
50,4,3050
51,4,3034
52,4,2842
53,4,2870
54,4,2937
55,4,2719
56,4,2961
57,4,2934
58,4,2975
59,4,3306
60,5,2691
61,5,2743
62,5,2865
63,5,2939
64,5,2730
65,5,2700
66,5,2605
67,5,2587
68,5,2665
69,5,2796
70,5,2886
71,5,2952
72,5,2636
73,5,2768
74,5,3208
75,5,2776
76,5,2520
77,5,3203
78,5,2612
79,5,2982
80,6,2968
81,6,2534
82,6,2759
83,6,2908
84,6,2535
85,6,2373
86,6,2734
87,6,2275
88,6,2913
89,6,2888
90,6,2701
91,6,2529
92,6,2520
93,6,2910
94,6,3234
95,6,2437
96,6,2715
97,6,3211
98,6,2601
99,6,2763
100,7,2594
101,7,2556
102,7,2498
103,7,2623
104,7,2874
105,7,2349
106,7,2476
107,7,2550
108,7,2608
109,7,2451
110,7,2663
111,7,2424
112,7,2273
113,7,2649
114,7,2644
115,7,2688
116,7,2602
117,7,2744
118,7,2449
119,7,2449
120,8,2332
121,8,2878
122,8,2422
123,8,2561
124,8,2289
125,8,2417
126,8,2500
127,8,2881
128,8,2852
129,8,2448
130,8,2440
131,8,2639
132,8,2691
133,8,2872
134,8,2484
135,8,2500
136,8,2636
137,8,2714
138,8,2521
139,8,2956
140,9,2561
141,9,2434
142,9,2430
143,9,2299
144,9,2470
145,9,3107
146,9,2572
147,9,2472
148,9,2902
149,9,2394
150,9,2831
151,9,2393
152,9,2411
153,9,2307
154,9,2509
155,9,2282
156,9,2724
157,9,2574
158,9,2464
159,9,2867
160,10,2467
161,10,2281
162,10,2668
163,10,2449
164,10,2225
165,10,2253
166,10,2483
167,10,2627
168,10,2320
169,10,2432
170,10,2432
171,10,2278
172,10,2712
173,10,2204
174,10,2758
175,10,2438
176,10,2247
177,10,2339
178,10,2878
179,10,2342
180,11,2294
181,11,2317
182,11,2388
183,11,2429
184,11,2378
185,11,2506
186,11,2285
187,11,2585
188,11,2402
189,11,2315
190,11,2330
191,11,2391
192,11,2463
193,11,2779
194,11,2579
195,11,2528
196,11,2321
197,11,2298
198,11,2297
199,11,2509
200,12,2735
201,12,2281
202,12,2389
203,12,2536
204,12,2470
205,12,2232
206,12,2475
207,12,2244
208,12,2307
209,12,2226
210,12,2604
211,12,2177
212,12,2314
213,12,2482
214,12,2394
215,12,2518
216,12,2490
217,12,2298
218,12,2338
219,12,2512
220,13,2653
221,13,2479
222,13,2368
223,13,2798
224,13,2225
225,13,2595
226,13,2402
227,13,2662
228,13,2358
229,13,2223
230,13,2223
231,13,2481
232,13,2563
233,13,2672
234,13,2386
235,13,2324
236,13,2376
237,13,2193
238,13,2612
239,13,2366
240,14,2272
241,14,2329
242,14,2490
243,14,2271
244,14,2170
245,14,2267
246,14,2271
247,14,2542
248,14,2147
249,14,2204
250,14,2188
251,14,2392
252,14,2196
253,14,2352
254,14,2660
255,14,2261
256,14,2156
257,14,2415
258,14,2346
259,14,2683
260,15,2258
261,15,2353
262,15,2343
263,15,2378
264,15,2272
265,15,2223
266,15,2180
267,15,2204
268,15,2205
269,15,2210
270,15,2450
271,15,2155
272,15,2261
273,15,2423
274,15,2231
275,15,2347
276,15,2592
277,15,2308
278,15,2394
279,15,2362
280,16,2167
281,16,2501
282,16,2276
283,16,2304
284,16,2399
285,16,2266
286,16,2357
287,16,2225
288,16,2432
289,16,2180
290,16,2263
291,16,2165
292,16,2347
293,16,2168
294,16,2264
295,16,2312
296,16,2134
297,16,2144
298,16,2187
299,16,2147
300,17,2137
301,17,2143
302,17,2450
303,17,2312
304,17,2367
305,17,2261
306,17,2188
307,17,2180
308,17,2263
309,17,2161
310,17,2475
311,17,2184
312,17,2353
313,17,2204
314,17,2252
315,17,2136
316,17,2150
317,17,2172
318,17,2419
319,17,2164
320,18,2196
321,18,2200
322,18,2138
323,18,2198
324,18,2155
325,18,2306
326,18,2186
327,18,2314
328,18,2207
329,18,2207
330,18,2136
331,18,2149
332,18,2123
333,18,2123
334,18,2150
335,18,2128
336,18,2469
337,18,2143
338,18,2168
339,18,2143
340,19,2146
341,19,2199
342,19,2124
343,19,2242
344,19,2133
345,19,2312
346,19,2125
347,19,2135
348,19,2192
349,19,2124
350,19,2121
351,19,2128
352,19,2158
353,19,2312
354,19,2240
355,19,2252
356,19,2196
357,19,2127
358,19,2123
359,19,2127
360,20,2125
361,20,2124
362,20,2299
363,20,2240
364,20,2123
365,20,2158
366,20,2121
367,20,2121
368,20,2123
369,20,2131
370,20,2142
371,20,2142
372,20,2123
373,20,2158
374,20,2124
375,20,2125
376,20,2192
377,20,2125
378,20,2121
379,20,2123
